Loaded 7,473 train + 1,319 test = 8,792 total rows
Processing shard [7920:8792] → 872 rows

Loading model: Qwen/Qwen2.5-7B-Instruct
Model loaded.

── Building gsm8k_trees_7920_8792.csv ──
  [85/872] Generating subquestions (4 steps)...
  [86/872] Generating subquestions (5 steps)...
  [87/872] Generating subquestions (3 steps)...
  [88/872] Generating subquestions (5 steps)...
  [89/872] Generating subquestions (2 steps)...
  [90/872] Generating subquestions (2 steps)...
  [91/872] Generating subquestions (3 steps)...
  [92/872] Generating subquestions (2 steps)...
  [93/872] Generating subquestions (3 steps)...
  [94/872] Generating subquestions (5 steps)...
  [96/872] Generating subquestions (5 steps)...
  [97/872] Generating subquestions (2 steps)...
  [98/872] Generating subquestions (2 steps)...
  [99/872] Generating subquestions (2 steps)...
  [100/872] Generating subquestions (4 steps)...
  [101/872] Generating subquestions (3 steps)...
  [102/872] Generating subquestions (2 steps)...
  [103/872] Generating subquestions (2 steps)...
  [104/872] Generating subquestions (5 steps)...
  [105/872] Generating subquestions (5 steps)...
  [106/872] Generating subquestions (3 steps)...
  [107/872] Generating subquestions (3 steps)...
  [108/872] Generating subquestions (4 steps)...
  [109/872] Generating subquestions (3 steps)...
  [111/872] Generating subquestions (4 steps)...
  [112/872] Generating subquestions (2 steps)...
  [113/872] Generating subquestions (3 steps)...
  [114/872] Generating subquestions (3 steps)...
  [115/872] Generating subquestions (4 steps)...
  [116/872] Generating subquestions (2 steps)...
  [117/872] Generating subquestions (4 steps)...
  [118/872] Generating subquestions (4 steps)...
  [119/872] Generating subquestions (4 steps)...
  [120/872] Generating subquestions (3 steps)...
  [121/872] Generating subquestions (4 steps)...
  [122/872] Generating subquestions (4 steps)...
  [123/872] Generating subquestions (2 steps)...
  [124/872] Generating subquestions (6 steps)...
  [125/872] Generating subquestions (3 steps)...
  [126/872] Generating subquestions (6 steps)...
  [127/872] Generating subquestions (3 steps)...
  [128/872] Generating subquestions (3 steps)...
  [129/872] Generating subquestions (3 steps)...
  [130/872] Generating subquestions (5 steps)...
  [131/872] Generating subquestions (4 steps)...
  [132/872] Generating subquestions (5 steps)...
  [133/872] Generating subquestions (2 steps)...
  [134/872] Generating subquestions (3 steps)...
  [135/872] Generating subquestions (4 steps)...
  [136/872] Generating subquestions (3 steps)...
  [137/872] Generating subquestions (6 steps)...
  [138/872] Generating subquestions (6 steps)...
  [139/872] Generating subquestions (5 steps)...
  [140/872] Generating subquestions (3 steps)...
  [141/872] Generating subquestions (5 steps)...
  [142/872] Generating subquestions (3 steps)...
  [143/872] Generating subquestions (2 steps)...
  [144/872] Generating subquestions (4 steps)...
  [145/872] Generating subquestions (2 steps)...
  [146/872] Generating subquestions (4 steps)...
  [147/872] Generating subquestions (3 steps)...
  [148/872] Generating subquestions (3 steps)...
  [149/872] Generating subquestions (2 steps)...
  [150/872] Generating subquestions (4 steps)...
  [151/872] Generating subquestions (2 steps)...
  [152/872] Generating subquestions (4 steps)...
  [153/872] Generating subquestions (4 steps)...
  [155/872] Generating subquestions (6 steps)...
  [156/872] Generating subquestions (2 steps)...
  [157/872] Generating subquestions (5 steps)...
  [158/872] Generating subquestions (4 steps)...
  [159/872] Generating subquestions (5 steps)...
  [160/872] Generating subquestions (4 steps)...
  [161/872] Generating subquestions (2 steps)...
  [162/872] Generating subquestions (4 steps)...
  [164/872] Generating subquestions (3 steps)...
  [165/872] Generating subquestions (6 steps)...
  [166/872] Generating subquestions (2 steps)...
  [167/872] Generating subquestions (2 steps)...
  [168/872] Generating subquestions (3 steps)...
  [169/872] Generating subquestions (4 steps)...
  [170/872] Generating subquestions (2 steps)...
  [171/872] Generating subquestions (2 steps)...
  [172/872] Generating subquestions (5 steps)...
  [173/872] Generating subquestions (3 steps)...
  [174/872] Generating subquestions (3 steps)...
  [175/872] Generating subquestions (3 steps)...
  [176/872] Generating subquestions (4 steps)...
  [177/872] Generating subquestions (2 steps)...
  [178/872] Generating subquestions (2 steps)...
  [179/872] Generating subquestions (2 steps)...
  [180/872] Generating subquestions (3 steps)...
  [181/872] Generating subquestions (4 steps)...
  [182/872] Generating subquestions (2 steps)...
  [183/872] Generating subquestions (5 steps)...
  [184/872] Generating subquestions (2 steps)...
  [186/872] Generating subquestions (3 steps)...
  [187/872] Generating subquestions (2 steps)...
  [188/872] Generating subquestions (2 steps)...
  [189/872] Generating subquestions (2 steps)...
  [190/872] Generating subquestions (3 steps)...
  [191/872] Generating subquestions (3 steps)...
  [192/872] Generating subquestions (5 steps)...
  [193/872] Generating subquestions (2 steps)...
  [194/872] Generating subquestions (2 steps)...
  [195/872] Generating subquestions (5 steps)...
  [196/872] Generating subquestions (6 steps)...
  [197/872] Generating subquestions (3 steps)...
  [198/872] Generating subquestions (3 steps)...
  [199/872] Generating subquestions (2 steps)...
  [200/872] Generating subquestions (3 steps)...
  [201/872] Generating subquestions (4 steps)...
  [202/872] Generating subquestions (2 steps)...
  [203/872] Generating subquestions (3 steps)...
  [204/872] Generating subquestions (6 steps)...
  [205/872] Generating subquestions (4 steps)...
  [206/872] Generating subquestions (6 steps)...
  [207/872] Generating subquestions (2 steps)...
  [208/872] Generating subquestions (3 steps)...
  [209/872] Generating subquestions (2 steps)...
  [210/872] Generating subquestions (2 steps)...
  [211/872] Generating subquestions (4 steps)...
  [212/872] Generating subquestions (4 steps)...
  [213/872] Generating subquestions (3 steps)...
  [214/872] Generating subquestions (2 steps)...
  [215/872] Generating subquestions (5 steps)...
  [216/872] Generating subquestions (3 steps)...
  [217/872] Generating subquestions (2 steps)...
  [218/872] Generating subquestions (3 steps)...
  [219/872] Generating subquestions (3 steps)...
  [220/872] Generating subquestions (5 steps)...
  [221/872] Generating subquestions (2 steps)...
  [222/872] Generating subquestions (2 steps)...
  [223/872] Generating subquestions (2 steps)...
  [224/872] Generating subquestions (2 steps)...
  [225/872] Generating subquestions (4 steps)...
  [226/872] Generating subquestions (4 steps)...
  [228/872] Generating subquestions (3 steps)...
  [229/872] Generating subquestions (4 steps)...
  [230/872] Generating subquestions (5 steps)...
  [231/872] Generating subquestions (2 steps)...
  [232/872] Generating subquestions (3 steps)...
  [233/872] Generating subquestions (2 steps)...
  [234/872] Generating subquestions (3 steps)...
  [235/872] Generating subquestions (4 steps)...
  [237/872] Generating subquestions (3 steps)...
  [238/872] Generating subquestions (2 steps)...
  [239/872] Generating subquestions (4 steps)...
  [240/872] Generating subquestions (3 steps)...
  [241/872] Generating subquestions (5 steps)...
  [242/872] Generating subquestions (3 steps)...
  [243/872] Generating subquestions (4 steps)...
  [244/872] Generating subquestions (6 steps)...
  [245/872] Generating subquestions (4 steps)...
  [246/872] Generating subquestions (6 steps)...
  [247/872] Generating subquestions (2 steps)...
  [248/872] Generating subquestions (4 steps)...
  [250/872] Generating subquestions (6 steps)...
  [251/872] Generating subquestions (2 steps)...
  [252/872] Generating subquestions (4 steps)...
  [254/872] Generating subquestions (4 steps)...
  [255/872] Generating subquestions (5 steps)...
  [256/872] Generating subquestions (2 steps)...
  [257/872] Generating subquestions (4 steps)...
  [258/872] Generating subquestions (5 steps)...
  [259/872] Generating subquestions (2 steps)...
  [260/872] Generating subquestions (2 steps)...
  [262/872] Generating subquestions (2 steps)...
  [263/872] Generating subquestions (5 steps)...
  [264/872] Generating subquestions (7 steps)...
  [265/872] Generating subquestions (3 steps)...
  [266/872] Generating subquestions (3 steps)...
  [267/872] Generating subquestions (3 steps)...
  [268/872] Generating subquestions (4 steps)...
  [269/872] Generating subquestions (3 steps)...
  [270/872] Generating subquestions (4 steps)...
  [271/872] Generating subquestions (4 steps)...
  [272/872] Generating subquestions (3 steps)...
  [273/872] Generating subquestions (2 steps)...
  [274/872] Generating subquestions (2 steps)...
  [275/872] Generating subquestions (5 steps)...
  [276/872] Generating subquestions (2 steps)...
  [277/872] Generating subquestions (3 steps)...
  [278/872] Generating subquestions (4 steps)...
  [279/872] Generating subquestions (3 steps)...
  [280/872] Generating subquestions (2 steps)...
  [281/872] Generating subquestions (5 steps)...
  [282/872] Generating subquestions (2 steps)...
  [283/872] Generating subquestions (4 steps)...
  [284/872] Generating subquestions (2 steps)...
  [285/872] Generating subquestions (5 steps)...
  [286/872] Generating subquestions (4 steps)...
  [287/872] Generating subquestions (2 steps)...
  [288/872] Generating subquestions (3 steps)...
  [289/872] Generating subquestions (5 steps)...
  [290/872] Generating subquestions (4 steps)...
  [291/872] Generating subquestions (3 steps)...
  [292/872] Generating subquestions (3 steps)...
  [293/872] Generating subquestions (3 steps)...
  [294/872] Generating subquestions (2 steps)...
  [295/872] Generating subquestions (3 steps)...
  [296/872] Generating subquestions (3 steps)...
  [297/872] Generating subquestions (4 steps)...
  [298/872] Generating subquestions (2 steps)...
  [299/872] Generating subquestions (4 steps)...
  [300/872] Generating subquestions (7 steps)...
  [301/872] Generating subquestions (4 steps)...
  [302/872] Generating subquestions (3 steps)...
  [303/872] Generating subquestions (2 steps)...
  [304/872] Generating subquestions (5 steps)...
  [305/872] Generating subquestions (4 steps)...
  [306/872] Generating subquestions (2 steps)...
  [307/872] Generating subquestions (4 steps)...
  [308/872] Generating subquestions (6 steps)...
  [309/872] Generating subquestions (2 steps)...
  [311/872] Generating subquestions (5 steps)...
  [312/872] Generating subquestions (2 steps)...
  [313/872] Generating subquestions (2 steps)...
  [314/872] Generating subquestions (4 steps)...
  [315/872] Generating subquestions (2 steps)...
  [316/872] Generating subquestions (3 steps)...
  [318/872] Generating subquestions (4 steps)...
  [319/872] Generating subquestions (3 steps)...
  [320/872] Generating subquestions (2 steps)...
  [321/872] Generating subquestions (2 steps)...
  [322/872] Generating subquestions (3 steps)...
  [323/872] Generating subquestions (2 steps)...
  [324/872] Generating subquestions (3 steps)...
  [325/872] Generating subquestions (3 steps)...
  [326/872] Generating subquestions (6 steps)...
  [327/872] Generating subquestions (5 steps)...
  [328/872] Generating subquestions (3 steps)...
  [329/872] Generating subquestions (4 steps)...
  [330/872] Generating subquestions (2 steps)...
  [331/872] Generating subquestions (8 steps)...
  [332/872] Generating subquestions (4 steps)...
  [333/872] Generating subquestions (6 steps)...
  [334/872] Generating subquestions (4 steps)...
  [335/872] Generating subquestions (2 steps)...
  [336/872] Generating subquestions (6 steps)...
  [337/872] Generating subquestions (2 steps)...
  [338/872] Generating subquestions (4 steps)...
  [339/872] Generating subquestions (4 steps)...
  [340/872] Generating subquestions (3 steps)...
  [341/872] Generating subquestions (4 steps)...
  [342/872] Generating subquestions (3 steps)...
  [343/872] Generating subquestions (3 steps)...
  [344/872] Generating subquestions (4 steps)...
  [345/872] Generating subquestions (3 steps)...
  [346/872] Generating subquestions (2 steps)...
  [347/872] Generating subquestions (5 steps)...
  [348/872] Generating subquestions (2 steps)...
  [349/872] Generating subquestions (3 steps)...
  [350/872] Generating subquestions (6 steps)...
  [351/872] Generating subquestions (2 steps)...
  [352/872] Generating subquestions (4 steps)...
  [353/872] Generating subquestions (3 steps)...
  [354/872] Generating subquestions (2 steps)...
  [355/872] Generating subquestions (5 steps)...
  [356/872] Generating subquestions (2 steps)...
  [357/872] Generating subquestions (4 steps)...
  [358/872] Generating subquestions (3 steps)...
  [359/872] Generating subquestions (3 steps)...
  [360/872] Generating subquestions (5 steps)...
  [361/872] Generating subquestions (3 steps)...
  [362/872] Generating subquestions (4 steps)...
  [363/872] Generating subquestions (2 steps)...
  [364/872] Generating subquestions (6 steps)...
  [365/872] Generating subquestions (2 steps)...
  [366/872] Generating subquestions (7 steps)...
  [367/872] Generating subquestions (3 steps)...
  [368/872] Generating subquestions (8 steps)...
  [369/872] Generating subquestions (5 steps)...
  [370/872] Generating subquestions (3 steps)...
  [371/872] Generating subquestions (2 steps)...
  [372/872] Generating subquestions (4 steps)...
  [373/872] Generating subquestions (2 steps)...
  [374/872] Generating subquestions (3 steps)...
  [376/872] Generating subquestions (3 steps)...
  [377/872] Generating subquestions (3 steps)...
  [378/872] Generating subquestions (3 steps)...
  [380/872] Generating subquestions (4 steps)...
  [381/872] Generating subquestions (5 steps)...
  [382/872] Generating subquestions (4 steps)...
  [383/872] Generating subquestions (4 steps)...
  [384/872] Generating subquestions (5 steps)...
  [385/872] Generating subquestions (5 steps)...
  [386/872] Generating subquestions (2 steps)...
  [387/872] Generating subquestions (2 steps)...
  [388/872] Generating subquestions (3 steps)...
  [389/872] Generating subquestions (3 steps)...
  [390/872] Generating subquestions (3 steps)...
  [391/872] Generating subquestions (4 steps)...
  [392/872] Generating subquestions (4 steps)...
  [393/872] Generating subquestions (3 steps)...
  [394/872] Generating subquestions (4 steps)...
  [395/872] Generating subquestions (3 steps)...
  [397/872] Generating subquestions (5 steps)...
  [398/872] Generating subquestions (5 steps)...
  [400/872] Generating subquestions (4 steps)...
  [401/872] Generating subquestions (3 steps)...
  [402/872] Generating subquestions (3 steps)...
  [403/872] Generating subquestions (2 steps)...
  [404/872] Generating subquestions (4 steps)...
  [405/872] Generating subquestions (2 steps)...
  [406/872] Generating subquestions (5 steps)...
  [407/872] Generating subquestions (3 steps)...
  [408/872] Generating subquestions (4 steps)...
  [410/872] Generating subquestions (2 steps)...
  [411/872] Generating subquestions (2 steps)...
  [412/872] Generating subquestions (4 steps)...
  [413/872] Generating subquestions (4 steps)...
  [414/872] Generating subquestions (3 steps)...
  [415/872] Generating subquestions (4 steps)...
  [416/872] Generating subquestions (4 steps)...
  [417/872] Generating subquestions (2 steps)...
  [418/872] Generating subquestions (3 steps)...
  [419/872] Generating subquestions (4 steps)...
  [421/872] Generating subquestions (2 steps)...
  [422/872] Generating subquestions (3 steps)...
  [423/872] Generating subquestions (2 steps)...
  [424/872] Generating subquestions (3 steps)...
  [425/872] Generating subquestions (5 steps)...
  [426/872] Generating subquestions (4 steps)...
  [428/872] Generating subquestions (2 steps)...
  [429/872] Generating subquestions (3 steps)...
  [430/872] Generating subquestions (6 steps)...
  [431/872] Generating subquestions (3 steps)...
  [432/872] Generating subquestions (3 steps)...
  [433/872] Generating subquestions (4 steps)...
  [434/872] Generating subquestions (3 steps)...
  [435/872] Generating subquestions (2 steps)...
  [436/872] Generating subquestions (8 steps)...
  [437/872] Generating subquestions (2 steps)...
  [438/872] Generating subquestions (2 steps)...
  [439/872] Generating subquestions (2 steps)...
  [440/872] Generating subquestions (3 steps)...
  [441/872] Generating subquestions (3 steps)...
  [442/872] Generating subquestions (2 steps)...
  [443/872] Generating subquestions (3 steps)...
  [444/872] Generating subquestions (4 steps)...
  [446/872] Generating subquestions (3 steps)...
  [447/872] Generating subquestions (3 steps)...
  [448/872] Generating subquestions (4 steps)...
  [449/872] Generating subquestions (3 steps)...
  [450/872] Generating subquestions (3 steps)...
  [451/872] Generating subquestions (3 steps)...
  [452/872] Generating subquestions (3 steps)...
  [453/872] Generating subquestions (2 steps)...
  [454/872] Generating subquestions (3 steps)...
  [455/872] Generating subquestions (5 steps)...
  [457/872] Generating subquestions (5 steps)...
  [458/872] Generating subquestions (2 steps)...
  [459/872] Generating subquestions (3 steps)...
  [460/872] Generating subquestions (4 steps)...
  [461/872] Generating subquestions (2 steps)...
  [462/872] Generating subquestions (3 steps)...
  [463/872] Generating subquestions (3 steps)...
  [464/872] Generating subquestions (2 steps)...
  [465/872] Generating subquestions (3 steps)...
  [466/872] Generating subquestions (3 steps)...
  [467/872] Generating subquestions (2 steps)...
  [468/872] Generating subquestions (2 steps)...
  [469/872] Generating subquestions (3 steps)...
  [470/872] Generating subquestions (5 steps)...
  [471/872] Generating subquestions (2 steps)...
  [472/872] Generating subquestions (3 steps)...
  [473/872] Generating subquestions (3 steps)...
  [474/872] Generating subquestions (3 steps)...
  [475/872] Generating subquestions (3 steps)...
  [476/872] Generating subquestions (3 steps)...
  [477/872] Generating subquestions (3 steps)...
  [478/872] Generating subquestions (2 steps)...
  [479/872] Generating subquestions (3 steps)...
  [480/872] Generating subquestions (8 steps)...
  [481/872] Generating subquestions (5 steps)...
  [482/872] Generating subquestions (3 steps)...
  [483/872] Generating subquestions (3 steps)...
  [486/872] Generating subquestions (4 steps)...
  [487/872] Generating subquestions (4 steps)...
  [488/872] Generating subquestions (4 steps)...
  [489/872] Generating subquestions (4 steps)...
  [490/872] Generating subquestions (4 steps)...
  [491/872] Generating subquestions (4 steps)...
  [492/872] Generating subquestions (5 steps)...
  [493/872] Generating subquestions (2 steps)...
  [494/872] Generating subquestions (2 steps)...
  [495/872] Generating subquestions (3 steps)...
  [496/872] Generating subquestions (2 steps)...
  [497/872] Generating subquestions (4 steps)...
  [498/872] Generating subquestions (4 steps)...
  [499/872] Generating subquestions (7 steps)...
  [501/872] Generating subquestions (2 steps)...
  [502/872] Generating subquestions (3 steps)...
  [503/872] Generating subquestions (2 steps)...
  [504/872] Generating subquestions (2 steps)...
  [505/872] Generating subquestions (2 steps)...
  [506/872] Generating subquestions (4 steps)...
  [507/872] Generating subquestions (6 steps)...
  [508/872] Generating subquestions (3 steps)...
  [509/872] Generating subquestions (4 steps)...
  [510/872] Generating subquestions (4 steps)...
  [511/872] Generating subquestions (2 steps)...
  [513/872] Generating subquestions (3 steps)...
  [514/872] Generating subquestions (4 steps)...
  [515/872] Generating subquestions (3 steps)...
  [516/872] Generating subquestions (3 steps)...
  [518/872] Generating subquestions (2 steps)...
  [519/872] Generating subquestions (4 steps)...
  [520/872] Generating subquestions (5 steps)...
  [521/872] Generating subquestions (4 steps)...
  [522/872] Generating subquestions (4 steps)...
  [523/872] Generating subquestions (5 steps)...
  [525/872] Generating subquestions (4 steps)...
  [526/872] Generating subquestions (5 steps)...
  [527/872] Generating subquestions (2 steps)...
  [528/872] Generating subquestions (3 steps)...
  [529/872] Generating subquestions (4 steps)...
  [530/872] Generating subquestions (7 steps)...
  [531/872] Generating subquestions (2 steps)...
  [532/872] Generating subquestions (3 steps)...
  [533/872] Generating subquestions (6 steps)...
  [534/872] Generating subquestions (3 steps)...
  [535/872] Generating subquestions (4 steps)...
  [536/872] Generating subquestions (4 steps)...
  [537/872] Generating subquestions (3 steps)...
  [538/872] Generating subquestions (3 steps)...
  [539/872] Generating subquestions (2 steps)...
  [540/872] Generating subquestions (4 steps)...
  [541/872] Generating subquestions (5 steps)...
  [542/872] Generating subquestions (2 steps)...
  [543/872] Generating subquestions (4 steps)...
  [544/872] Generating subquestions (4 steps)...
  [545/872] Generating subquestions (2 steps)...
  [546/872] Generating subquestions (3 steps)...
  [547/872] Generating subquestions (3 steps)...
  [548/872] Generating subquestions (4 steps)...
  [549/872] Generating subquestions (2 steps)...
  [550/872] Generating subquestions (4 steps)...
  [551/872] Generating subquestions (2 steps)...
  [552/872] Generating subquestions (3 steps)...
  [554/872] Generating subquestions (5 steps)...
  [555/872] Generating subquestions (4 steps)...
  [557/872] Generating subquestions (4 steps)...
  [558/872] Generating subquestions (3 steps)...
  [559/872] Generating subquestions (4 steps)...
  [560/872] Generating subquestions (3 steps)...
  [561/872] Generating subquestions (3 steps)...
  [562/872] Generating subquestions (3 steps)...
  [563/872] Generating subquestions (5 steps)...
  [564/872] Generating subquestions (4 steps)...
  [565/872] Generating subquestions (8 steps)...
  [567/872] Generating subquestions (4 steps)...
  [568/872] Generating subquestions (5 steps)...
  [569/872] Generating subquestions (3 steps)...
  [570/872] Generating subquestions (3 steps)...
  [571/872] Generating subquestions (4 steps)...
  [572/872] Generating subquestions (2 steps)...
  [573/872] Generating subquestions (4 steps)...
  [574/872] Generating subquestions (3 steps)...
  [575/872] Generating subquestions (5 steps)...
  [576/872] Generating subquestions (3 steps)...
  [577/872] Generating subquestions (2 steps)...
  [578/872] Generating subquestions (4 steps)...
  [579/872] Generating subquestions (2 steps)...
  [580/872] Generating subquestions (4 steps)...
  [581/872] Generating subquestions (2 steps)...
  [582/872] Generating subquestions (2 steps)...
  [583/872] Generating subquestions (5 steps)...
  [584/872] Generating subquestions (3 steps)...
  [585/872] Generating subquestions (3 steps)...
  [586/872] Generating subquestions (2 steps)...
  [587/872] Generating subquestions (2 steps)...
  [588/872] Generating subquestions (3 steps)...
  [590/872] Generating subquestions (2 steps)...
  [591/872] Generating subquestions (4 steps)...
  [592/872] Generating subquestions (6 steps)...
  [593/872] Generating subquestions (4 steps)...
  [594/872] Generating subquestions (4 steps)...
  [595/872] Generating subquestions (3 steps)...
  [596/872] Generating subquestions (5 steps)...
  [598/872] Generating subquestions (4 steps)...
  [599/872] Generating subquestions (2 steps)...
  [600/872] Generating subquestions (3 steps)...
  [602/872] Generating subquestions (4 steps)...
  [603/872] Generating subquestions (3 steps)...
  [604/872] Generating subquestions (2 steps)...
  [605/872] Generating subquestions (2 steps)...
  [606/872] Generating subquestions (5 steps)...
  [607/872] Generating subquestions (3 steps)...
  [608/872] Generating subquestions (3 steps)...
  [609/872] Generating subquestions (3 steps)...
  [610/872] Generating subquestions (3 steps)...
  [611/872] Generating subquestions (3 steps)...
  [612/872] Generating subquestions (3 steps)...
  [613/872] Generating subquestions (3 steps)...
  [614/872] Generating subquestions (3 steps)...
  [615/872] Generating subquestions (3 steps)...
  [616/872] Generating subquestions (5 steps)...
  [617/872] Generating subquestions (3 steps)...
  [618/872] Generating subquestions (3 steps)...
  [619/872] Generating subquestions (2 steps)...
  [620/872] Generating subquestions (4 steps)...
  [621/872] Generating subquestions (4 steps)...
  [622/872] Generating subquestions (4 steps)...
  [623/872] Generating subquestions (3 steps)...
  [624/872] Generating subquestions (4 steps)...
  [625/872] Generating subquestions (5 steps)...
  [626/872] Generating subquestions (5 steps)...
  [627/872] Generating subquestions (4 steps)...
  [628/872] Generating subquestions (2 steps)...
  [629/872] Generating subquestions (6 steps)...
  [630/872] Generating subquestions (4 steps)...
  [631/872] Generating subquestions (7 steps)...
  [632/872] Generating subquestions (3 steps)...
  [633/872] Generating subquestions (4 steps)...
  [634/872] Generating subquestions (2 steps)...
  [635/872] Generating subquestions (2 steps)...
  [636/872] Generating subquestions (3 steps)...
  [637/872] Generating subquestions (4 steps)...
  [639/872] Generating subquestions (2 steps)...
  [640/872] Generating subquestions (8 steps)...
  [641/872] Generating subquestions (3 steps)...
  [642/872] Generating subquestions (6 steps)...
  [643/872] Generating subquestions (3 steps)...
  [644/872] Generating subquestions (4 steps)...
  [645/872] Generating subquestions (2 steps)...
  [646/872] Generating subquestions (2 steps)...
  [647/872] Generating subquestions (7 steps)...
  [648/872] Generating subquestions (6 steps)...
  [649/872] Generating subquestions (3 steps)...
  [650/872] Generating subquestions (4 steps)...
  [651/872] Generating subquestions (3 steps)...
  [652/872] Generating subquestions (2 steps)...
  [653/872] Generating subquestions (3 steps)...
  [654/872] Generating subquestions (3 steps)...
  [655/872] Generating subquestions (4 steps)...
  [656/872] Generating subquestions (7 steps)...
  [657/872] Generating subquestions (2 steps)...
  [658/872] Generating subquestions (2 steps)...
  [659/872] Generating subquestions (4 steps)...
  [660/872] Generating subquestions (2 steps)...
  [661/872] Generating subquestions (2 steps)...
  [662/872] Generating subquestions (2 steps)...
  [663/872] Generating subquestions (5 steps)...
  [664/872] Generating subquestions (2 steps)...
  [665/872] Generating subquestions (4 steps)...
  [666/872] Generating subquestions (4 steps)...
  [668/872] Generating subquestions (3 steps)...
  [669/872] Generating subquestions (3 steps)...
  [670/872] Generating subquestions (2 steps)...
  [671/872] Generating subquestions (2 steps)...
  [672/872] Generating subquestions (5 steps)...
  [673/872] Generating subquestions (3 steps)...
  [674/872] Generating subquestions (3 steps)...
  [675/872] Generating subquestions (2 steps)...
  [676/872] Generating subquestions (8 steps)...
  [677/872] Generating subquestions (3 steps)...
  [678/872] Generating subquestions (3 steps)...
  [679/872] Generating subquestions (3 steps)...
  [681/872] Generating subquestions (2 steps)...
  [682/872] Generating subquestions (3 steps)...
  [683/872] Generating subquestions (5 steps)...
  [684/872] Generating subquestions (4 steps)...
  [685/872] Generating subquestions (4 steps)...
  [686/872] Generating subquestions (4 steps)...
  [687/872] Generating subquestions (2 steps)...
  [688/872] Generating subquestions (3 steps)...
  [689/872] Generating subquestions (3 steps)...
  [690/872] Generating subquestions (3 steps)...
  [691/872] Generating subquestions (4 steps)...
  [692/872] Generating subquestions (4 steps)...
  [693/872] Generating subquestions (4 steps)...
  [694/872] Generating subquestions (4 steps)...
  [695/872] Generating subquestions (3 steps)...
  [696/872] Generating subquestions (3 steps)...
  [697/872] Generating subquestions (2 steps)...
  [698/872] Generating subquestions (3 steps)...
  [699/872] Generating subquestions (5 steps)...
